Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
경기도 화성시 양감면 사창리 142-1,770,126.9733464,37.10406952,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97355963480514,37.10392157631813],[126.97352780634067,37.10392972340295],[126.97328311701972,37.1039204295653],[126.97318146762755,37.104153824811405],[126.97308507198463,37.10429494371517],[126.97308889771683,37.10429278208908],[126.97329089802297,37.10420371553116],[126.97340736329342,37.10415240981996],[126.97345796973916,37.104138752725795],[126.97350032122992,37.10408806011343],[126.97345250536765,37.10406956808094],[126.9735015617032,37.103988213996274],[126.97354762281917,37.10400602079022],[126.97355963480514,37.10392157631813]]]]}",186696260,12386,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 1000-2,2530,126.9925111,37.1032315,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.99237022222158,37.10277512520877],[126.9923676614272,37.10367779762618],[126.99265584410628,37.10368280233708],[126.99265051553601,37.10278019239946],[126.99237022222158,37.10277512520877]]]]}",186696260,12384,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 411,1547,126.9837943,37.09098962,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98426993609507,37.090751642138635],[126.98324539377539,37.09109983925592],[126.98331211936437,37.091226511731506],[126.98433882176306,37.090882297050385],[126.98426993609507,37.090751642138635]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 180,3860,126.9875005,37.09064208,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98793034584716,37.090306713729746],[126.98689890861169,37.09065632027218],[126.98706588872638,37.090974847974465],[126.98810071412616,37.09063070081563],[126.98793034584716,37.090306713729746]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 용소리 951,1982,126.9704029,37.07836441,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.97033161730131,37.07804795160141],[126.97017557309317,37.07828449372889],[126.97039379844625,37.078867521195306],[126.97065262606158,37.078116948863006],[126.97033161730131,37.07804795160141]]]]}",186696260,12411,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 384,1850,126.9860843,37.09043909,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98655606759203,37.09018765340655],[126.98552612136487,37.09053842859558],[126.98560465538938,37.09068914170833],[126.98587142578879,37.090599872949554],[126.98663839282804,37.090343214033595],[126.98655606759203,37.09018765340655]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 401,2917,126.9848686,37.0928001,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98519642965182,37.09252314288004],[126.98417102413903,37.09287122161883],[126.98420295463373,37.09293317424443],[126.98452423909984,37.092961198627954],[126.98489096886526,37.09292528920671],[126.98493575314511,37.09295123702554],[126.98509406679827,37.092966946511886],[126.98538483507599,37.0928912972372],[126.98526894939236,37.09266431309795],[126.98519642965182,37.09252314288004]]]]}",186696260,12410,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 402-1,121,126.9827016,37.11001802,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98263795166687,37.10997237743308],[126.98265233456803,37.110044563530344],[126.9826691481739,37.11006913807183],[126.98267111931659,37.11010536094283],[126.98271901832796,37.11008494154082],[126.98274110183853,37.110045361530254],[126.98277538284793,37.10995259394904],[126.98263795166687,37.10997237743308]]]]}",186696260,12414,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 송산리 164-2,1299,126.9888468,37.1148956,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98882123016323,37.11468144476317],[126.9888012955756,37.11473237943555],[126.98874685219164,37.114855980719206],[126.98875222387824,37.11496157627519],[126.98881136696863,37.115060708001344],[126.98888291311236,37.114933125838014],[126.9890065329378,37.11485728787525],[126.98911337939937,37.114834448259145],[126.98934036348633,37.11497771293916],[126.98947869467598,37.11500474977547],[126.98951067823225,37.114959213547785],[126.98925939101836,37.1148158025169],[126.98925430480203,37.11474975444424],[126.98909853390674,37.11465803758148],[126.9889441653215,37.114661562488706],[126.98882123016323,37.11468144476317]]]]}",186696260,12383,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
경기도 화성시 양감면 정문리 655-1,716,126.983463,37.08471336,"{""type"":""MultiPolygon"",""coordinates"":[[[[126.98332542976442,37.084567665197035],[126.98325880961907,37.08472921548382],[126.98332609554876,37.0847467965339],[126.98346819336247,37.08477483225935],[126.98389209632008,37.08483957422507],[126.98389956206127,37.08480046020909],[126.98388989006082,37.0847990260838],[126.98361696313665,37.084696714643385],[126.98342047562208,37.0845735005893],[126.98332542976442,37.084567665197035]]]]}",186696260,12425,DONE,7/29/23 9:00,7/29/23 9:00,7/11/23 12:44
